"0","0","0[-,s,m]","BAve","L25","imp","0","s","m"
"nA_jA_0_raha_yA_ho_0","nA_jA_rahA_ho","nA[m,p,-]jA_0[-,-,-]raha_yA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L2","n","-2","-1","-1"
"nA_jA_0_raha_yA_ho_future","nA_jA_rahA_ho_future","nA[m,p,-]jA_0[-,-,-]raha_yA[g_v,n_v,-]ho_future[g_v,n_v,p_v]_","karwA","L2","n","-1","-1","-1"
"nA_jA_0_raha_yA_ho_wA","nA_jA_rahA_howA","nA[m,p,-]jA_0[-,-,-]raha_yA[g_v,n_v,-]ho_wA[g_v,n_v,-]","karwA","L2","n","-1","-1","0"
"nA_laga_future","nA_laga_future","nA[m,p,-]laga_future[g_v,n_v,p_v]","karwA","L1","n","-1","-1","-1"
"nA_laga_subj","nA_laga_subj","nA[m,p,-]laga_subj[-,n_v,p_v]","BAve","L1","n","0","-1","-1"
"nA_laga_wA","nA_lagawA","nA[m,p,-]laga_wA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"nA_laga_wA_WA_WA","nA_lagawA_WA","nA[m,p,-]laga_wA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"nA_laga_wA_hE_hE","nA_lagawA_hE","nA[m,p,-]laga_wA[g_v,n_v,-]hE_hE[-,n_v,p_v]","karwA","L1","n","-2","-1","-1"
"nA_laga_wA_ho_0","nA_lagawA_ho","nA[m,p,-]laga_wA[g_v,n_v,-]ho_0[-,n_v,p_v]","karwA","L1","n","-2","-1","-1"
"nA_laga_wA_ho_future","nA_lagawA_ho_future","nA[m,p,-]laga_wA[g_v,n_v,-]ho_future[g_v,n_v,p_v]","karwA","L1","n","-1","-1","-1"
"nA_laga_yA","nA_lagA","nA[m,p,-]laga_yA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
"nA_laga_yA_WA_WA","nA_lagA_WA","nA[m,p,-]laga_yA[g_v,n_v,-]WA_WA[g_v,n_v,-]","karwA","L1","n","-1","-1","0"
